Instance,Publication,Group,Date,Average_0Scale,Average_0Scale_Corrected
I0001,MathiesonNature2018,Luxembourg_Loschbour,6210-5990 calBCE (7205±50 BP; OxA-7738),-6100,-6100
BOT.1,FregelPNAS2018,Morocco_unknown,8400-3600 BCE,-6000,-6000
IAM.3.SG,FregelPNAS2018,Morocco_EN_lc.SG,5325-5210 calBCE (6290±40 BP; Beta-443598),-5267,-5268
IAM.6.SG,FregelPNAS2018,Morocco_EN.SG,5290-5060 calBCE (6210±30 BP; Beta-443601),-5175,-5175
IAM.7.SG,FregelPNAS2018,Morocco_EN.SG,5000-4840 calBCE (6030±30 BP; Beta-443602),-4920,-4920
KEB.4.SG,FregelPNAS2018,Morocco_LN.SG,3800-3600 BCE [layer date based on KEB.1],-3700,-3700
KEB.6.SG,FregelPNAS2018,Morocco_LN.SG,3800-3600 BCE [layer date based on KEB.1],-3700,-3700
TOR.11.SG,FregelPNAS2018,Iberia_EN.SG,5030-4850 calBCE (6050±30 BP; Beta-365287),-4940,-4940
TOR.6.SG,FregelPNAS2018,Iberia_EN.SG,5280-4780 BCE [layer date],-5030,-5030
TOR.7.SG,FregelPNAS2018,Iberia_EN_1d.or.2d.rel.TOR.6.SG,5280-4780 BCE [layer date],-5030,-5030
TOR.8.SG,FregelPNAS2018,Iberia_EN.SG,5280-4780 BCE [layer date],-5030,-5030
IAM.4_IAM.5.SG,FregelPNAS2018 (merge.of.two.published.samplesfrom.this.paper.that.are.duplicates),Morocco_EN.SG,5215-5005 calBCE (6160±30 BP; Beta-443599),-5110,-5110
KEB.1_KEB.8.SG,FregelPNAS2018 (merge.of.two.published.samplesfrom.this.paper.that.are.duplicates),Morocco_LN.SG,3780-3650 calBCE (4940±30 BP; Beta-443603),-3715,-3715
Ancestor.REF,ReferenceGenome,Ancestor.REF,present,1950,NA
Href.REF,Genome,Href.REF,present,1950,NA
Chimp.REF,Genome,Chimp.REF,present,1950,NA
Gorilla.REF,Genome,Gorilla.REF,present,1950,NA
I0719.SG,FlegontovNature2019,USA_AK_PaleoAleut.SG,1250-1640 calCE (1348±82 BP; AA-46416; marine corrected by Thomas Harper),1445,1445
MA826.RISE00.SG,SaagCurrentBiology2017.merge.with.AllentoftNature2015,Estonia_CordedWare.SG,2575-2350 calBCE (3969±32 BP; UBA-29064),-2463,-2462
MA968.MA976.SG,SaagCurrentBiology2017,Estonia_CordedWare.SG,2871-2505 calBCE (4110±40 BP; Poz-10824),-2688,-2688
CabecoArruda117B.SG,MartinianoPLoSGenetics2017,Iberia_LN_C.SG,3400-2800 BCE [layer date based on a long bone from a likely different individual 3330-2885 calBCE (4370±70 BP; Beta-123363)],-3100,-3100
CabecoArruda122A.SG,MartinianoPLoSGenetics2017,Iberia_LN_C.SG,3400-2800 BCE [layer date based on a long bone from a likely different individual 3330-2885 calBCE (4370±70 BP; Beta-123363)],-3100,-3100
CovaMoura364.SG,MartinianoPLoSGenetics2017,Iberia_LN_C.SG,3700-2200 BCE,-2950,-2950
CovaMoura9B.SG,MartinianoPLoSGenetics2017,Iberia_LN_C.SG,3700-2200 BCE,-2950,-2950
DolmenAnsiao96B.SG,MartinianoPLoSGenetics2017,Iberia_LN_C.SG,3700-3300 BCE,-3500,-3500
LugarCanto41.SG,MartinianoPLoSGenetics2017,Iberia_MN.SG,4500-3500 BCE,-4000,-4000
LugarCanto42.SG,MartinianoPLoSGenetics2017,Iberia_MN.SG,4500-3500 BCE,-4000,-4000
LugarCanto44.SG,MartinianoPLoSGenetics2017,Iberia_MN.SG,4500-3500 BCE,-4000,-4000
LugarCanto45.SG,MartinianoPLoSGenetics2017,Iberia_MN.SG,4500-3500 BCE,-4000,-4000
MonteCanelas337A.SG,MartinianoPLoSGenetics2017,Iberia_LN_C.SG,3326-2680 calBCE [3326-2888 calBCE (4370±60 BP; OxA-5514); 2926-2680 calBCE (4250±40 BP; Beta-290366)],-3003,-3003
MonteGato104.SG,MartinianoPLoSGenetics2017,Iberia_MBA.SG,1740-1430 calBCE [1640-1430 calBCE (3260±50; Sac-2573); 1740-1545 calBCE (3360±30 BP; Beta-318379)],-1585,-1585
TV32032extra.SG,MartinianoPLoSGenetics2017,Iberia_MBA.SG,1800-1400 BCE,-1600,-1600
TV3831.SG,MartinianoPLoSGenetics2017,Iberia_MBA.SG,1800-1400 BCE,-1600,-1600
ValeOuro10207.SG,MartinianoPLoSGenetics2017,Iberia_MBA.SG,1800-1400 BCE,-1600,-1600
Sanganji_131421-3_A1.SG,KanzawaJHG2016,Japan_Jomon.SG_lc,1284-1128 BCE (2994±19 BP),-1206,-1206
Sanganji_131421-3_A2.SG,KanzawaJHG2016,Japan_Jomon.SG,1284-1128 BCE (2994±19 BP),-1206,-1206
Sanganji_131464_B.SG,KanzawaJHG2016,Japan_Jomon_HG.SG,1398-1264 calBCE (3061±19 BP),-1331,-1331
RISE507.508.merge.SG,AllentoftNature2015,Russia_Afanasievo.SG,3331-2923 calBCE [3322-2923 calBCE (4423±29 BP; OxA-31219); 3331-2935 calBCE (4442±29 BP; OxA-31220)],-3127,-3127
Avar.SG,RaghavanNature2014,Avar.SG,present,1950,NA
BI16.SG,RasmussenNature2014,Karitiana.SG,present,1950,NA
