Instance,Publication,Group,Date,Average_0Scale,Average_0Scale_Corrected
I0626_all,LipsonScience2018,Vietnam_N_all,1950-1650 BCE,-1800,-1800
I0627_all,LipsonScience2018,Vietnam_N_all,2131-1896 calBCE (3630±35 BP; Poz-81116; date suspect because C:N ratio of 3.68),-2014,-2014
I1137_all_published,LipsonScience2018,Vietnam_N_all_published,1882-1745 calBCE (3480±20 BP; PSUAMS-2410),-1814,-1814
I1859_all,LipsonScience2018,Vietnam_N_all,1887-1745 calBCE (3490±25 BP; PSUAMS-1920),-1816,-1816
I2497_all,LipsonScience2018,Vietnam_BA_all,150 BCE - 50 CE,-50,-50
I2731_all,LipsonScience2018,Vietnam_N_all,1869-1665 calBCE (3430±20 BP; PSUAMS-2370),-1767,-1767
I4451_all,LipsonCurrentBiology2018,Vanuatu_2300BP_all,410-210 calBCE (2348±32 BP; Wk-20390; marine correction applied according to Petchey et al. 2014),-310,-310
I0626,LipsonScience2018,Vietnam_N,1950-1650 BCE,-1800,-1800
I0627,LipsonScience2018,Vietnam_N,2131-1896 calBCE (3630±35 BP; Poz-81116; date suspect because C:N ratio of 3.68),-2014,-2014
I0944,NarasimhanPattersonScience2019,Russia_Petrovka,2023-1744 calBCE (3540±52 BP; AA-90949),-1884,-1884
I1135,LipsonScience2018,Vietnam_N,1876-1688 calBCE (3445±20 BP; PSUAMS-2409),-1782,-1782
I1137,LipsonScience2018,Vietnam_N_published,1882-1745 calBCE (3480±20 BP; PSUAMS-2410),-1814,-1814
I1781,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1,2009-1772 calBCE (3550±30 BP; PSUAMS-2065),-1891,-1890
I1782,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1,2288-2142 calBCE (3785±20 BP; PSUAMS-2309),-2215,-2215
I1787,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1,2139-1981 calBCE (3680±20 BP; PSUAMS-2310),-2060,-2060
I1788,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1,2127-1905 calBCE (3630±30 BP; PSUAMS-2066),-2016,-2016
I1789,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1_o2,2277-2030 calBCE (3735±35 BP; Poz-83486),-2154,-2154
I1790,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1,2134-1957 calBCE (3660±20 BP; PSUAMS-2311),-2046,-2046
I1792,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1_o,2458-2202 calBCE (3840±35 BP; Poz-83487),-2330,-2330
I1793,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1,2190-2029 calBCE (3700±20 BP; PSUAMS-2312),-2110,-2110
I1859,LipsonScience2018,Vietnam_N,1887-1745 calBCE (3490±25 BP; PSUAMS-1920),-1816,-1816
I2085,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1,2011-1886 calBCE (3580±20 BP; PSUAMS-2313),-1949,-1948
I2087,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1,2196-2034 calBCE (3715±20 BP; PSUAMS-2335),-2115,-2115
I2116,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1,2118-1883 calBCE (3605±35 BP; Poz-83490),-2001,-2000
I2121,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1,2203-2041 calBCE (3735±20 BP; PSUAMS-2314),-2122,-2122
I2122,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1_o2,2139-1981 calBCE (3680±20 BP; PSUAMS-2152),-2060,-2060
I2123,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_2,2452-2140 calBCE (3815±35 BP; Poz-83491),-2296,-2296
I2125,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1,2136-1977 calBCE (3670±20 BP; PSUAMS-2315),-2057,-2056
I2128,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1,2198-2036 calBCE (3720±20 BP; PSUAMS-2316),-2117,-2117
I2497,LipsonScience2018,Vietnam_BA,100 BCE - 100 CE,0,0
I2731,LipsonScience2018,Vietnam_N,1869-1665 calBCE (3430±20 BP; PSUAMS-2370),-1767,-1767
I2922,NarasimhanPattersonScience2019,Iran_C_TepeHissar,2197-2027 calBCE (3705±25 BP; PSUAMS-2227),-2112,-2112
I2927,NarasimhanPattersonScience2019,Iran_C_TepeHissar,2575-2350 calBCE (3970±30 BP; PSUAMS-1916),-2463,-2462
I2928,NarasimhanPattersonScience2019,Iran_C_TepeHissar,2858-2505 calBCE (4095±25 BP; PSUAMS-1917),-2682,-2682
I2960,NarasimhanPattersonScience2019,Pakistan_Medieval_Udegram_Ghaznavid_father.or.son.I2959,1000-1250 CE [father.or.son of I2959 at 1037-1207 calCE (905±30 BP; Poz-83508)],1125,1125
I3374,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1,2125-1945 calBCE (3645±20 BP; PSUAMS-2317),-2035,-2035
I3448,NarasimhanPattersonScience2019,Kazakhstan_MLBA_Dali,1900-1600 BCE [layer date of another sample from the same grave at 1871-1636 calBCE (3420±30 BP; Beta-391199)],-1750,-1750
I3456,NarasimhanPattersonScience2019,Kazakhstan_LBA_Tasbas,1117-976 calBCE (2870±20 BP; PSUAMS-2538),-1047,-1046
I3807,OlaldeScience2019,Iberia_NazariPeriod_Muslim,1200-1500 CE,1350,1350
I3981,OlaldeScience2019,Iberia_Roman,400-600 CE,500,500
I4055_published,OlaldeScience2019,Iberia_Roman_published,400-600 CE,500,500
I4246_published,OlaldeScience2019,Iberia_BellBeaker_o_published,2473-2030 calBCE [2473-2299 calBCE (3910±30 BP; PSUAMS-2119); 2280-2030 calBCE (3650±40 BP; Beta-184837)],-2252,-2252
I4451,LipsonCurrentBiology2018,Vanuatu_2300BP,410-210 calBCE (2348±32 BP; Wk-20390; marine correction applied according to Petchey et al. 2014),-310,-310
I7207,NarasimhanPattersonScience2019,Czech_CordedWare,2559-2340 calBCE (3935±25 BP; PSUAMS-3887),-2450,-2450
I7208,NarasimhanPattersonScience2019,Czech_CordedWare,2464-2295 calBCE (3885±25 BP; PSUAMS-3888),-2380,-2380
I7209,NarasimhanPattersonScience2019,Czech_CordedWare,2458-2207 calBCE (3850±25 BP; PSUAMS-4026),-2333,-2332
I7579,OlaldeNature2018,England_MBA_sister.I1780,1600-1300 BCE,-1450,-1450
I7580,OlaldeNature2018,England_MBA,1600-1300 BCE,-1450,-1450
I7271,OlaldeNature2018,Czech_BellBeaker_brother.I7278,2500-2000 BCE,-2250,-2250
I7278,OlaldeNature2018,Czech_BellBeaker,2464-2299 calBCE (3890±20 BP; PSUAMS-4349),-2382,-2382
I7041,OlaldeNature2018,Hungary_EBA_Protonagyrev_brother.I7043,2150-1950 BCE [based on being brother of I7043 at 2136-1977 calBCE (3670±20 BP; PSUAMS-4036)],-2050,-2050
I7043,OlaldeNature2018,Hungary_EBA_Protonagyrev,2136-1977 calBCE (3670±20 BP; PSUAMS-4036),-2057,-2056
I7282,OlaldeNature2018,Czech_BellBeaker,2500-2000 BCE,-2250,-2250
I7283,OlaldeNature2018,Czech_BellBeaker_mother.I7282,2500-2000 BCE,-2250,-2250
I7289,OlaldeNature2018,Czech_BellBeaker_sibling.I7214,2459-2214 calBCE (3860±20 BP; PSUAMS-4353),-2337,-2336
I7210,OlaldeNature2018,Czech_BellBeaker_father.or.son.I7212,2201-2039 calBCE (3730±20 BP; PSUAMS-4236),-2120,-2120
I7212,OlaldeNature2018,Czech_BellBeaker,2456-2203 calBCE (3840±25 BP; PSUAMS-4346),-2330,-2330
I7214,OlaldeNature2018,Czech_BellBeaker,2500-2000 BCE,-2250,-2250
I6712,NarasimhanPattersonScience2019,Russia_Afanasievo_son.I10565,2858-2505 calBCE (4095±25 BP; PSUAMS-3883),-2682,-2682
I6711,NarasimhanPattersonScience2019,Russia_Afanasievo,2950-2650 BCE [son of RISE511 with a date of 2909-2679 calBCE (4224±36 BP; OxA-31568)],-2800,-2800
I6714,NarasimhanPattersonScience2019,Russia_Afanasievo_son.I3388_son.I3950_brother.I3949,2617-2472 calBCE (4020±25 BP; PSUAMS-3909),-2545,-2544
I6718,NarasimhanPattersonScience2019,Russia_MLBA_Krasnoyarsk,1616-1501 calBCE (3275±25 BP; PSUAMS-3911),-1559,-1558
I4157,NarasimhanPattersonScience2019,Uzbekistan_BA_Bustan,1600-1300 BCE,-1450,-1450
I6707,NarasimhanPattersonScience2019,Kazakhstan_MLBA_Bylkyldak,1596-1439 calBCE (3230±20 BP; PSUAMS-2978),-1518,-1518
I6708,NarasimhanPattersonScience2019,Kazakhstan_Kanai_MBA,2193-2031 calBCE (3705±20 BP; PSUAMS-2916),-2112,-2112
I6709,NarasimhanPattersonScience2019,Kazakhstan_LBA,1391-1196 calBCE (3025±25 BP; PSUAMS-2940),-1294,-1294
I6788,NarasimhanPattersonScience2019,Kazakhstan_MLBA_Alakul_Lisakovskiy,1862-1664 calBCE (3425±20 BP; PSUAMS-2921),-1763,-1763
I6789,NarasimhanPattersonScience2019,Kazakhstan_MLBA_Alakul_Maitan,1877-1693 calBCE (3455±20 BP; PSUAMS-2922),-1785,-1785
I6790,NarasimhanPattersonScience2019,Kazakhstan_MLBA_Alakul_Maitan,1872-1684 calBCE (3435±20 BP; PSUAMS-2980),-1778,-1778
I6791,NarasimhanPattersonScience2019,Kazakhstan_MLBA_Alakul_Maitan,1862-1664 calBCE (3425±20 BP; PSUAMS-2923),-1763,-1763
I6792,NarasimhanPattersonScience2019,Kazakhstan_MLBA_Alakul_Maitan_o,1876-1691 calBCE (3450±20 BP; PSUAMS-2924),-1784,-1784
I6793,NarasimhanPattersonScience2019,Kazakhstan_MLBA_Alakul_Maitan,1745-1636 calBCE (3395±20 BP; PSUAMS-2925),-1691,-1690
I6794,NarasimhanPattersonScience2019,Kazakhstan_MLBA_Alakul_Maitan,1876-1688 calBCE (3445±20 BP; PSUAMS-2926),-1782,-1782
I6795,NarasimhanPattersonScience2019,Kazakhstan_MLBA_Alakul_Maitan_o,1749-1642 calBCE (3405±20 BP; PSUAMS-2927),-1696,-1696
I6796,NarasimhanPattersonScience2019,Kazakhstan_MLBA_Alakul_Maitan,1882-1748 calBCE (3485±20 BP; PSUAMS-2928),-1815,-1815
I6797,NarasimhanPattersonScience2019,Kazakhstan_MLBA_Alakul_Maitan,1872-1684 calBCE (3435±20 BP; PSUAMS-2929),-1778,-1778
I6799,NarasimhanPattersonScience2019,Kazakhstan_MLBA_Alakul_Satan,1876-1688 calBCE (3445±20 BP; PSUAMS-2981),-1782,-1782
I6800,NarasimhanPattersonScience2019,Kazakhstan_MLBA_Alakul_Lisakovskiy,1767-1658 calBCE (3415±20 BP; PSUAMS-2942),-1713,-1712
I7101,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1_lc,2500-1700 BCE,-2100,-2100
I7102,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1_lc,2000-1800 BCE,-1900,-1900
I7170,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1_lc,2000-1800 BCE,-1900,-1900
I7171,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1_lc,2500-1700 BCE,-2100,-2100
I7411,NarasimhanPattersonScience2019,Uzbekistan_BA_Dzharkutan1,1686-1534 calBCE (3335±20 BP; PSUAMS-3227),-1610,-1610
I7173,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1_lc,2500-1700 BCE,-2100,-2100
I7412,NarasimhanPattersonScience2019,Uzbekistan_BA_Dzharkutan1,1749-1642 calBCE (3405±20 BP; PSUAMS-3228),-1696,-1696
I7414,NarasimhanPattersonScience2019,Uzbekistan_BA_SappaliTepe,2031-1915 calBCE (3615±20 BP; PSUAMS-3106),-1973,-1973
I7416,NarasimhanPattersonScience2019,Uzbekistan_BA_SappaliTepe,1948-1777 calBCE (3545±20 BP; PSUAMS-3117),-1863,-1862
I7419,NarasimhanPattersonScience2019,Uzbekistan_BA_SappaliTepe,1881-1701 calBCE (3475±20 BP; PSUAMS-3229),-1791,-1791
I7420,NarasimhanPattersonScience2019,Uzbekistan_BA_SappaliTepe,2000-1600 BCE,-1800,-1800
I7421,NarasimhanPattersonScience2019,Uzbekistan_BA_SappaliTepe,1931-1767 calBCE (3525±25 BP; PSUAMS-3120),-1849,-1849
I7492,NarasimhanPattersonScience2019,Uzbekistan_BA_SappaliTepe,1971-1782 calBCE (3560±20 BP; PSUAMS-3121),-1877,-1876
I7493,NarasimhanPattersonScience2019,Uzbekistan_BA_SappaliTepe_o,2000-1600 BCE,-1800,-1800
I7494,NarasimhanPattersonScience2019,Uzbekistan_BA_SappaliTepe2,2010-1883 calBCE (3575±20 BP; PSUAMS-3230),-1947,-1946
I7495,NarasimhanPattersonScience2019,Uzbekistan_BA_SappaliTepe2,1971-1782 calBCE (3560±20 BP; PSUAMS-3122),-1877,-1876
I7542,NarasimhanPattersonScience2019,Uzbekistan_BA_SappaliTepe,1885-1752 calBCE (3495±20 BP; PSUAMS-3231),-1819,-1818
I3023,BraceDiekmannNatureEcologyEvolution2019,Wales_N,3730-2980 BCE,-3355,-3355
I4158,NarasimhanPattersonScience2019,Uzbekistan_BA_Bustan_o_lc,1600-1300 BCE,-1450,-1450
I6695,NarasimhanPattersonScience2019,Czech_CordedWare,2900-2350 BCE,-2625,-2625
I6696,NarasimhanPattersonScience2019,Czech_CordedWare,2900-2350 BCE,-2625,-2625
I6713,NarasimhanPattersonScience2019,Russia_Afanasievo,3000-2000 BCE,-2500,-2500
I6715,NarasimhanPattersonScience2019,Russia_Afanasievo,3300-2500 BCE,-2900,-2900
I6716,NarasimhanPattersonScience2019,Russia_MLBA_Krasnoyarsk,1740-1534 calBCE [1740-1614 calBCE (3370±25 BP; PSUAMS-3910); 1686-1534 calBCE (3335±20 BP; PSUAMS-4254)],-1637,-1637
I6717,NarasimhanPattersonScience2019,Russia_MLBA_Krasnoyarsk_o,1497-1406 calBCE (3160±20 BP; PSUAMS-4447),-1452,-1452
I7040,OlaldeNature2018,Hungary_EBA_Protonagyrev,2900-1800 BCE,-2350,-2350
I7042,OlaldeNature2018,Hungary_MN,4232-4046 calBCE (5300±25 BP; PSUAMS-4035),-4139,-4139
I7044,OlaldeNature2018,Hungary_EBA_BellBeaker,2900-1800 BCE,-2350,-2350
I7045,OlaldeNature2018,Hungary_EBA_BellBeaker,2431-2202 calBCE (3835±20 BP; PSUAMS-4040),-2317,-2316
I7195,OlaldeNature2018,Czech_EBA,2800-1800 BCE,-2300,-2300
I7196,OlaldeNature2018,Czech_EBA,2800-1800 BCE,-2300,-2300
I7197,OlaldeNature2018,Czech_MN,4546-4451 calBCE (5660±25 BP; PSUAMS-4344),-4499,-4498
I7198,OlaldeNature2018,Czech_EBA,2189-1978 calBCE (3685±25 BP; PSUAMS-3885),-2084,-2084
I7199,OlaldeNature2018,Czech_EBA,2196-1985 calBCE (3700±25 BP; PSUAMS-3886),-2091,-2090
I7200,OlaldeNature2018,Czech_EBA,2800-1800 BCE,-2300,-2300
I7201,OlaldeNature2018,Czech_EBA,2800-1800 BCE,-2300,-2300
I7202,OlaldeNature2018,Czech_EBA,2800-1800 BCE,-2300,-2300
I7203,OlaldeNature2018,Czech_EBA,2800-1800 BCE,-2300,-2300
I7205,OlaldeNature2018,Czech_BellBeaker,2500-2000 BCE,-2250,-2250
I7211,OlaldeNature2018,Czech_BellBeaker,2293-2146 calBCE (3800±20 BP; PSUAMS-4345),-2220,-2220
I7213,OlaldeNature2018,Czech_BellBeaker,2431-2202 calBCE (3835±20 BP; PSUAMS-4347),-2317,-2316
I7249,OlaldeNature2018,Czech_BellBeaker,2136-1977 calBCE (3670±20 BP; PSUAMS-4499),-2057,-2056
I7251,OlaldeNature2018,Czech_BellBeaker,2500-2000 BCE,-2250,-2250
I7250,OlaldeNature2018,Czech_BellBeaker,2500-2000 BCE,-2250,-2250
I7269,OlaldeNature2018,Czech_BellBeaker,2500-2000 BCE,-2250,-2250
I7272,OlaldeNature2018,Czech_Eneolithic,3630-3377 calBCE (4715±20 BP; PSUAMS-4239),-3504,-3504
I7270,OlaldeNature2018,Czech_BellBeaker,2500-2000 BCE,-2250,-2250
I7275,OlaldeNature2018,Czech_BellBeaker,2500-2000 BCE,-2250,-2250
I7276,OlaldeNature2018,Czech_BellBeaker,2500-2000 BCE,-2250,-2250
I7279,OlaldeNature2018,Czech_CordedWare,2500-2000 BCE,-2250,-2250
I7280,OlaldeNature2018,Czech_CordedWare,2500-2000 BCE,-2250,-2250
I7281,OlaldeNature2018,Czech_BellBeaker,2334-2149 calBCE (3810±20 BP; PSUAMS-4350),-2242,-2242
I7286,OlaldeNature2018,Czech_BellBeaker,2399-2201 calBCE (3830±20 BP; PSUAMS-4352),-2300,-2300
I7287,OlaldeNature2018,Czech_BellBeaker,2500-2000 BCE,-2250,-2250
I7288,OlaldeNature2018,Czech_BellBeaker,2500-2000 BCE,-2250,-2250
I7290,OlaldeNature2018,Czech_BellBeaker,2500-2000 BCE,-2250,-2250
I7554,OlaldeNature2018,Scotland_N,3366-3103 calBCE (4541±32 BP; SUERC-73433 ),-3235,-3234
I7568,OlaldeNature2018,England_MBA,1600-1300 BCE,-1450,-1450
I7569,OlaldeNature2018,England_MBA,1600-1300 BCE,-1450,-1450
I7570,OlaldeNature2018,England_MBA,1600-1300 BCE,-1450,-1450
I7571,OlaldeNature2018,England_MBA,1600-1300 BCE,-1450,-1450
I7572,OlaldeNature2018,England_MBA,1600-1300 BCE,-1450,-1450
I7573,OlaldeNature2018,England_MBA,1600-1300 BCE,-1450,-1450
I7574,OlaldeNature2018,England_MBA,1600-1300 BCE,-1450,-1450
I7575,OlaldeNature2018,England_MBA,1600-1300 BCE,-1450,-1450
I7576,OlaldeNature2018,England_MBA,1600-1300 BCE,-1450,-1450
I7577,OlaldeNature2018,England_MBA,1600-1300 BCE,-1450,-1450
I7578,OlaldeNature2018,England_MBA,1600-1300 BCE,-1450,-1450
I7626,OlaldeNature2018,England_MBA,1600-1300 BCE,-1450,-1450
I7627,OlaldeNature2018,England_MBA,1600-1300 BCE,-1450,-1450
I7628,OlaldeNature2018,England_MBA,1600-1300 BCE,-1450,-1450
I7630,OlaldeNature2018,England_C_EBA,1880-1692 calBCE (3458±27 BP; SUERC-72661; GU43493),-1786,-1786
I7635,OlaldeNature2018,England_C_EBA,2195-1978 calBCE (3690±28; BRAMS-1286),-2087,-2086
I7638,OlaldeNature2018,England_C_EBA,2290-1770 calBCE (3660±80; OxA-4357),-2030,-2030
I7639,OlaldeNature2018,England_C_EBA,2040-1660 calBCE (3520±70; HAR-3880),-1850,-1850
I7640,OlaldeNature2018,England_MBA,1436-1296 calBCE (3100±30; SUERC-28349),-1366,-1366
I1783,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1_o,2275-2024 calBCE (3725±35 BP; Poz-83484),-2150,-2150
BerryAuBac_published,FuNature2016,France_BerryAuBac_published,5370-5220 calBCE (6325±35 BP; SacA-5455),-5295,-5295
GoyetQ116-1_published,FuNature2016,Belgium_UP_GoyetQ116_1_published_all,33210-32480 calBCE (30880+170-160 BP; GrA-46175),-32845,-32845
Paglicci108_published_d,FuNature2016,Italy_South_HG_Paglicci108_published_lc,26480-25120 BCE (23470±370 BP; F-52; layer date),-25800,-25800
GoyetQ53-1_published_d,FuNature2016,Belgium_UP_GoyetQ53_1_published_lc,26280-25770 calBCE (23920±100 BP; GrA-46169,-26025,-26025
GoyetQ56-16_published_d,FuNature2016,Belgium_UP_GoyetQ56_16_published_lc,24650-24090 calBCE (22100±100 BP; GrA-59991),-24370,-24370
Paglicci133_published,FuNature2016,Italy_South_HG_Paglicci133_published,32630-29260 BCE [31150-29260 calBCE (28100±400 BP; UTC-1415); 32630-29910 calBCE (29300±600 BP;UTC-1789); bracketing by two layer dates],-30945,-30945
Rigney1_published_d,FuNature2016,France_Rigney1_published,13740-13290 calBCE (12930±55 BP; Ly-6515 (OxA),-13515,-13515
Burkhardtshohle_published_d,FuNature2016,Germany_Burkhardtshohle_published,13130-12200 calBCE (12450±110 BP; ETH-7613),-12665,-12665
Rochedane_published,FuNature2016,France_Rochedane_published,11140-10880 calBCE (11120±50 BP; GrA-41739),-11010,-11010
Iboussieres39_published_d,FuNature2016,France_Iboussieres39_published_lc,10090-9460 calBCE (10140±50 BP; GrA-43700),-9775,-9775
I1368_all,LipsonCurrentBiology2018,Vanuatu_2900BP_all,1040-800 calBCE (2983±32 BP; Wk-22657; marine correction applied according to Petchey et al. 2014),-920,-920
I1369_all,LipsonCurrentBiology2018,Vanuatu_2900BP_all,1070-800 calBCE (3045±30 BP; Poz-81126; marine correction applied according to Petchey et al. 2014),-935,-935
I1370_all,LipsonCurrentBiology2018,Vanuatu_2900BP_all,1160-830 calBCE (3083±26 BP; Wk-21026; marine correction applied according to Petchey et al. 2014),-995,-995
I1661,LazaridisNature2016,Iran_C_SehGabi,4696-4491 calBCE (5740±40 BP; Poz-81104),-4594,-4594
I2634,OlaldeNature2018,Scotland_N,3703-3534 calBCE (4851±34 BP; SUERC-68638),-3619,-3618
I2636,OlaldeNature2018,Scotland_N,3519-3361 calBCE (4651±33 BP; SUERC-68640),-3440,-3440
Falkenstein,MathiesonNature2018,Germany_Falkenstein,7460-7040 calBCE (8185±80 BP; ETH-7615),-7250,-7250
Iboussieres25-1,MathiesonNature2018,France_Iboussieres25_1,10090-9460 BCE (10140±50 BP; GrA-43700; layer date based on a direct date of Iboussieres39),-9775,-9775
Iboussieres31-2,MathiesonNature2018,France_Iboussieres31_2,10090-9460 BCE (10140±50 BP; GrA-43700; layer date based on a direct date of Iboussieres39),-9775,-9775
Rochedane,MathiesonNature2018,France_Rochedane,11140-10880 calBCE (11120±50 BP; GrA-41739),-11010,-11010
BerryAuBac,MathiesonNature2018,France_BerryAuBac,5370-5220 calBCE (6325±35 BP; SacA-5455),-5295,-5295
I0070,LazaridisNature2017,Greece_Minoan_Lassithi,2400-1700 BCE,-2050,-2050
I0071,LazaridisNature2017,Greece_Minoan_Lassithi,2400-1700 BCE,-2050,-2050
I0073,LazaridisNature2017,Greece_Minoan_Lassithi,2400-1700 BCE,-2050,-2050
I0074,LazaridisNature2017,Greece_Minoan_Lassithi,2400-1700 BCE,-2050,-2050
I9010,LazaridisNature2017,Greece_BA_Mycenaean,1400-1200 BCE,-1300,-1300
I9005,LazaridisNature2017,Greece_Minoan_Lassithi,2400-1700 BCE,-2050,-2050
I9006,LazaridisNature2017,Greece_BA_Mycenaean,1411-1262 calBCE (3067±25 BP; DEM-2905; MAMS-25209),-1337,-1336
I9033,LazaridisNature2017,Greece_BA_Mycenaean_Pylos,1416-1280 calBCE (3084±24 BP; DEM-2903; MAMS-25207),-1348,-1348
I9041,LazaridisNature2017,Greece_BA_Mycenaean,1400-1200 BCE,-1300,-1300
I9123,LazaridisNature2017,Greece_Crete_Armenoi,1390-1190 BCE,-1290,-1290
I9127,LazaridisNature2017,Greece_Minoan_Odigitria,2210-1680 BCE (based on four direct dates of skeletons in the same ossuary),-1945,-1945
I9128,LazaridisNature2017,Greece_Minoan_Odigitria,2210-1680 BCE (based on four direct dates of skeletons in the same ossuary),-1945,-1945
I9129,LazaridisNature2017,Greece_Minoan_Odigitria,2210-1680 BCE (based on four direct dates of skeletons in the same ossuary),-1945,-1945
I9130,LazaridisNature2017,Greece_Minoan_Odigitria,2210-1680 BCE (based on four direct dates of skeletons in the same ossuary),-1945,-1945
I9131,LazaridisNature2017,Greece_Minoan_Odigitria,2210-1680 BCE (based on four direct dates of skeletons in the same ossuary),-1945,-1945
ANI152,MathiesonNature2018,Bulgaria_Varna_C,4683-4406 calBCE [4683-4488 calBCE (5720±29 BP; OxA 13685); 4550-4406 calBCE (5662±27 BP; MAMS-15095)],-4545,-4544
ANI153,MathiesonNature2018,Bulgaria_C,4551-4374 calBCE (5657±30 BP; OxA-13692),-4463,-4462
ANI160,MathiesonNature2018,Bulgaria_Varna_C,4685-4499 calBCE (5735±31 BP; OxA-24041; unpublished date wait until others publish it),-4592,-4592
ANI163,MathiesonNature2018,Bulgaria_Varna_C_contam,4711-4542 calBCE [4711-4550 calBCE (5787±30 BP; OxA-13688); 4667-4542 calBCE (5755±24 BP; OxA-13688)],-4627,-4626
Bul10,MathiesonNature2018,Bulgaria_EBA_Ezero,3090-2924 calBCE (4396±20 BP; MAMS-26835),-3007,-3007
Bul4,MathiesonNature2018,Bulgaria_EBA_Yamnaya_o,3012-2900 calBCE (4333±20 BP; MAMS-26834),-2956,-2956
Bul6,MathiesonNature2018,Bulgaria_BeliBreyag_EBA,3400-1600 BCE,-2500,-2500
Bul8,MathiesonNature2018,Bulgaria_BeliBreyag_EBA,3400-1600 BCE,-2500,-2500
Sk10,SkoglundNature2016,Tonga_2500BP,730-390 calBCE (2594±20 BP; Wk-41883),-560,-560
ANI159-ANI181,MathiesonNature2018,Bulgaria_Varna_C,4711-4530 calBCE (5766±36 BP; OxA 13848),-4621,-4620
I2199,LipsonNature2017,Iberia_EN,5216-5031 calBCE (6170±30 BP; Beta-438208),-5124,-5124
I2298_published,SkoglundCell2017,Tanzania_Pemba_600BP_published,1292-1396 calCE (623±20 BP; Wk-43308),1344,1344
I2405_published,MathiesonNature2018,Poland_Globular_Amphora_published,3335-3020 calBCE (4460±30 BP; Beta-430713),-3178,-3178
I2416,OlaldeNature2018,England_BellBeaker,2470-2200 calBCE [2460-2200 calBCE (3845±27 BP; OxA-13624); 2470-2285 calBCE (3830±30 BP; Beta-432804)],-2335,-2335
I2418,OlaldeNature2018,England_BellBeaker,2440-2200 calBCE (3835±25 BP; NZA-32788),-2320,-2320
I2421,OlaldeNature2018,England_C_EBA,1931-1756 calBCE (3524±28 BP; OxA-26256),-1844,-1844
I2427,MathiesonNature2018,Bulgaria_C,4445-4335 calBCE (5520±30 BP; Beta-432805),-4390,-4390
I2431,MathiesonNature2018,Bulgaria_C,4725-4605 calBCE (5820±30 BP; Beta-432807),-4665,-4665
I2433,MathiesonNature2018,Poland_Globular_Amphora,3100-2900 BCE (mother to directly dated I2407: 3095-2915 calBCE (4390±30 BP; Beta-430714),-3000,-3000
I2434,MathiesonNature2018,Poland_Globular_Amphora,3400-2800 BCE,-3100,-3100
I2435_published,MathiesonNature2018,Poland_Globular_Amphora_brother.I2407_son.I2433_son.I2440_published,3100-2900 BCE (brother to directly dated I2407: 3095-2915 calBCE (4390±30 BP; Beta-430714),-3000,-3000
I2440,MathiesonNature2018,Poland_Globular_Amphora,3100-2900 BCE (father to directly dated I2407: 3095-2915 calBCE (4390±30 BP; Beta-430714),-3000,-3000
I2441,MathiesonNature2018,Poland_Globular_Amphora,3400-2800 BCE,-3100,-3100
I2457,OlaldeNature2018,England_C_EBA,2200-2031 calBCE [2480-2280 calBCE (3890±30 BP; SUERC-36210) ignored because it is an outlier from the daughter I2600; 2200-2031 calBCE (3717±28 BP; SUERC-69975)],-2116,-2116
I2459,OlaldeNature2018,England_BellBeaker,2460-2140 calBCE (3829±30 BP; SUERC-54823),-2300,-2300
I2460,OlaldeNature2018,England_C_EBA,2030-1820 calBCE (3575±27 BP; SUERC-53041),-1925,-1925
